ID,Name,Team ID,Team Name,G,GS,GR,CG,SHO,NBB,W,L,SV,HLD,IP,BF,NP,H,HR,BB,IBB,HBP,SO,WP,BK,R,ER,GO,FO
0000002281,廖乙忠,ACN,中信,11,0,11,0,0,0,0,0,0,1,12.2,53,208,12,0,3,0,0,11,1,0,5,5,6,21
0000006056,艾里歐,ACN,中信,10,10,0,0,0,0,3,2,0,0,67.0,274,1060,59,2,14,1,7,49,4,0,19,19,85,60
0000006867,徐基麟,ACN,中信,10,0,10,0,0,0,0,2,0,0,13.1,61,205,15,4,6,0,1,7,1,0,11,10,14,18
0000004626,王奕凱,ACN,中信,9,0,9,0,0,0,0,0,0,3,10.1,44,194,8,2,4,0,2,12,0,0,7,7,7,11
0000001515,吳哲源,ACN,中信,7,7,0,0,0,0,2,3,0,0,38.1,158,569,37,3,8,0,0,15,0,0,14,13,39,59
0000006876,張祖恩,ACN,中信,7,0,7,0,0,0,0,0,0,1,11.2,52,204,12,0,8,0,0,4,1,0,4,2,16,12
0000006874,盧孟揚,ACN,中信,6,1,5,0,0,0,0,0,0,0,7.2,35,142,9,0,4,0,1,5,0,0,6,6,5,11
0000006944,金安,ACN,中信,5,5,0,0,0,0,3,0,0,0,23.1,106,411,30,4,6,0,0,13,1,0,20,20,27,30
0000003078,官大元,ACN,中信,5,0,5,0,0,0,1,0,0,0,7.0,35,109,13,2,1,0,1,1,0,0,7,7,5,14
0000000773,李吳永勤,ACN,中信,5,0,5,0,0,0,0,0,0,1,5.2,30,125,11,1,2,0,0,5,0,0,5,5,4,8
0000000776,王凱程,ACN,中信,4,0,4,0,0,0,0,0,0,0,3.1,16,47,5,0,2,0,0,0,0,0,0,0,6,3
0000000779,陳柏豪,ACN,中信,4,0,4,0,0,0,0,0,0,0,5.0,26,102,4,0,6,0,0,1,2,0,3,2,8,7
0000007095,馬格文,ACN,中信,3,3,0,0,0,0,0,2,0,0,12.0,58,212,18,1,2,0,1,15,0,0,10,10,13,9
0000005566,黃弘毅,ACN,中信,2,0,2,0,0,0,0,0,0,0,1.2,6,26,1,0,1,0,0,0,0,0,0,0,4,0
0000001194,楊志龍,ACN,中信,1,0,1,0,0,0,0,0,0,0,1.0,5,24,1,0,1,0,0,0,0,0,2,2,3,0
0000007049,林暉盛,ACN,中信,1,0,1,0,0,0,0,0,0,1,1.0,5,22,1,0,1,0,0,2,0,0,0,0,0,1
0000006749,象魔力,ACN,中信,1,1,0,0,0,0,1,0,0,0,6.0,20,88,2,0,1,0,0,4,0,0,0,0,8,5
0000000998,邱浩鈞,ADD,統一,49,0,49,0,0,0,0,3,7,14,44.1,191,738,34,3,25,2,1,44,5,0,17,13,31,56
0000004637,劉軒荅,ADD,統一,48,0,48,0,0,0,4,1,0,16,41.2,171,643,37,0,16,2,4,24,0,0,9,9,38,52
0000003620,江承峰,ADD,統一,37,0,37,0,0,0,1,1,0,10,28.0,129,464,29,3,16,0,1,15,2,0,14,14,38,30
0000006127,李其峰,ADD,統一,36,0,36,0,0,0,0,1,0,9,35.1,151,507,35,3,11,0,5,13,2,0,16,13,48,39
0000002688,陳韻文,ADD,統一,34,0,34,0,0,0,1,1,16,4,33.1,130,541,28,0,11,0,0,27,0,1,6,6,32,32
0000002348,施子謙,ADD,統一,32,0,32,0,0,0,1,1,2,4,34.2,155,593,43,3,9,0,1,28,2,0,26,17,35,39
0000003393,王鏡銘,ADD,統一,28,0,28,0,0,0,2,3,0,5,24.0,110,425,29,5,13,0,0,10,1,0,20,20,27,31
